[270.0, 271.0, 269.0, 266.0, 269.0, 266.0, 266.0, 266.0, 267.0, 267.0, 266.0, 266.0, 266.0, 265.0, 265.0, 265.0]
[103.0, 103.0, 102.0, 102.0, 102.0, 102.0, 102.0, 103.0, 102.0, 102.0, 102.0, 102.0, 103.0, 102.0, 102.0, 102.0]
[31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0]
[36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 37.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0]
[75.0, 74.0, 75.0, 74.0, 74.0, 74.0, 75.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0]
[420.0, 422.0, 419.0, 420.0, 419.0, 420.0, 418.0, 419.0, 418.0, 419.0, 419.0, 418.0, 418.0, 418.0, 419.0, 418.0]
[60.0, 60.0, 60.0, 60.0, 61.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]
[63.0, 63.0, 64.0, 65.0, 65.0, 63.0, 65.0, 63.0, 63.0, 63.0, 64.0, 63.0, 63.0, 63.0, 63.0, 63.0]
[27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 28.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0]
[56.0, 56.0, 57.0, 57.0, 57.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0]
[33.0, 34.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0]
[59.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 59.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0]
[64.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 64.0, 63.0, 63.0, 63.0, 63.0, 63.0]
[62.0, 61.0, 61.0, 61.0, 62.0, 62.0, 61.0, 61.0, 61.0, 61.0, 61.0, 62.0, 61.0, 61.0, 61.0, 61.0]
