miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	Sample ID
hsa-mir-326	11	11.090387	N	TCGA-AA-3831-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3831-01A
hsa-mir-3653	84	84.690225	N	TCGA-AA-3831-01A
hsa-mir-375	29230	29470.181983	N	TCGA-AA-3831-01A
hsa-mir-484	61	61.501235	N	TCGA-AA-3831-01A
hsa-mir-760	1	1.008217	N	TCGA-AA-3831-01A
hsa-mir-1249	6	1.211359	N	TCGA-CK-6747-01A
hsa-mir-1538	3	0.60568	N	TCGA-CK-6747-01A
hsa-mir-1976	25	5.04733	N	TCGA-CK-6747-01A
hsa-mir-2110	19	3.835971	N	TCGA-CK-6747-01A
hsa-mir-326	37	7.470048	N	TCGA-CK-6747-01A
hsa-mir-346	1	0.201893	N	TCGA-CK-6747-01A
hsa-mir-3653	25	5.04733	N	TCGA-CK-6747-01A
hsa-mir-375	287941	58133.327842	N	TCGA-CK-6747-01A
hsa-mir-484	124	25.034756	N	TCGA-CK-6747-01A
hsa-mir-760	0	0.0	N	TCGA-CK-6747-01A
hsa-mir-1249	8	2.450409	N	TCGA-F4-6703-01A
hsa-mir-1538	1	0.306301	N	TCGA-F4-6703-01A
hsa-mir-1976	26	7.96383	N	TCGA-F4-6703-01A
hsa-mir-2110	4	1.225205	N	TCGA-F4-6703-01A
hsa-mir-326	38	11.639443	N	TCGA-F4-6703-01A
hsa-mir-346	0	0.0	N	TCGA-F4-6703-01A
hsa-mir-3653	6	1.837807	N	TCGA-F4-6703-01A
hsa-mir-375	15838	4851.197377	N	TCGA-F4-6703-01A
hsa-mir-484	112	34.305727	N	TCGA-F4-6703-01A
hsa-mir-760	3	0.918903	N	TCGA-F4-6703-01A
hsa-mir-1249	1	0.534451	N	TCGA-AA-A02O-01A
hsa-mir-1538	1	0.534451	N	TCGA-AA-A02O-01A
hsa-mir-1976	6	3.206708	N	TCGA-AA-A02O-01A
hsa-mir-2110	0	0.0	N	TCGA-AA-A02O-01A
hsa-mir-326	4	2.137805	N	TCGA-AA-A02O-01A
hsa-mir-346	0	0.0	N	TCGA-AA-A02O-01A
hsa-mir-3653	14	7.482318	N	TCGA-AA-A02O-01A
hsa-mir-375	193020	103159.782756	N	TCGA-AA-A02O-01A
hsa-mir-484	61	32.601527	N	TCGA-AA-A02O-01A
hsa-mir-760	1	0.534451	N	TCGA-AA-A02O-01A
hsa-mir-1249	13	1.796039	N	TCGA-A6-2675-01A
hsa-mir-1538	1	0.138157	N	TCGA-A6-2675-01A
hsa-mir-1976	42	5.802588	N	TCGA-A6-2675-01A
hsa-mir-2110	9	1.243412	N	TCGA-A6-2675-01A
hsa-mir-326	29	4.006549	N	TCGA-A6-2675-01A
hsa-mir-346	0	0.0	N	TCGA-A6-2675-01A
hsa-mir-3653	20	2.763137	N	TCGA-A6-2675-01A
hsa-mir-375	146872	20291.375599	N	TCGA-A6-2675-01A
hsa-mir-484	215	29.703727	N	TCGA-A6-2675-01A
hsa-mir-760	1	0.138157	N	TCGA-A6-2675-01A
hsa-mir-1249	2	0.7485	N	TCGA-AA-3975-01A
hsa-mir-1538	0	0.0	N	TCGA-AA-3975-01A
hsa-mir-1976	11	4.116748	N	TCGA-AA-3975-01A
hsa-mir-2110	5	1.871249	N	TCGA-AA-3975-01A
hsa-mir-326	12	4.490998	N	TCGA-AA-3975-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3975-01A
hsa-mir-3653	32	11.975994	N	TCGA-AA-3975-01A
hsa-mir-375	69927	26170.1669	N	TCGA-AA-3975-01A
hsa-mir-484	149	55.763223	N	TCGA-AA-3975-01A
hsa-mir-760	2	0.7485	N	TCGA-AA-3975-01A
hsa-mir-1249	8	0.790001	N	TCGA-F4-6460-01A
hsa-mir-1538	1	0.09875	N	TCGA-F4-6460-01A
hsa-mir-1976	37	3.653754	N	TCGA-F4-6460-01A
hsa-mir-2110	18	1.777502	N	TCGA-F4-6460-01A
hsa-mir-326	42	4.147505	N	TCGA-F4-6460-01A
hsa-mir-346	0	0.0	N	TCGA-F4-6460-01A
hsa-mir-3653	53	5.233756	N	TCGA-F4-6460-01A
hsa-mir-375	70717	6983.311528	N	TCGA-F4-6460-01A
hsa-mir-484	531	52.436308	N	TCGA-F4-6460-01A
hsa-mir-760	6	0.592501	N	TCGA-F4-6460-01A
hsa-mir-1249	0	0.0	N	TCGA-AA-3488-01A
hsa-mir-1538	0	0.0	N	TCGA-AA-3488-01A
hsa-mir-1976	5	2.608109	N	TCGA-AA-3488-01A
hsa-mir-2110	2	1.043243	N	TCGA-AA-3488-01A
hsa-mir-326	2	1.043243	N	TCGA-AA-3488-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3488-01A
hsa-mir-3653	13	6.781083	N	TCGA-AA-3488-01A
hsa-mir-375	24159	12601.859686	N	TCGA-AA-3488-01A
hsa-mir-484	111	57.900013	N	TCGA-AA-3488-01A
hsa-mir-760	0	0.0	N	TCGA-AA-3488-01A
hsa-mir-1249	0	0.0	N	TCGA-CA-5256-01A
hsa-mir-1538	0	0.0	N	TCGA-CA-5256-01A
hsa-mir-1976	13	6.231772	N	TCGA-CA-5256-01A
hsa-mir-2110	0	0.0	N	TCGA-CA-5256-01A
hsa-mir-326	0	0.0	N	TCGA-CA-5256-01A
hsa-mir-346	1	0.479367	N	TCGA-CA-5256-01A
hsa-mir-3653	18	8.628607	N	TCGA-CA-5256-01A
hsa-mir-375	31792	15240.038273	N	TCGA-CA-5256-01A
hsa-mir-484	107	51.292278	N	TCGA-CA-5256-01A
hsa-mir-760	1	0.479367	N	TCGA-CA-5256-01A
hsa-mir-1249	1	1.998525	N	TCGA-AA-3558-01A
hsa-mir-1538	1	1.998525	N	TCGA-AA-3558-01A
hsa-mir-1976	5	9.992625	N	TCGA-AA-3558-01A
hsa-mir-2110	0	0.0	N	TCGA-AA-3558-01A
hsa-mir-326	2	3.99705	N	TCGA-AA-3558-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3558-01A
hsa-mir-3653	11	21.983776	N	TCGA-AA-3558-01A
hsa-mir-375	16655	33285.435349	N	TCGA-AA-3558-01A
hsa-mir-484	24	47.964602	N	TCGA-AA-3558-01A
hsa-mir-760	1	1.998525	N	TCGA-AA-3558-01A
hsa-mir-1249	2	0.619861	N	TCGA-CM-5864-01A
hsa-mir-1538	0	0.0	N	TCGA-CM-5864-01A
hsa-mir-1976	24	7.438332	N	TCGA-CM-5864-01A
hsa-mir-2110	9	2.789374	N	TCGA-CM-5864-01A
hsa-mir-326	8	2.479444	N	TCGA-CM-5864-01A
hsa-mir-346	1	0.30993	N	TCGA-CM-5864-01A
hsa-mir-3653	13	4.029096	N	TCGA-CM-5864-01A
hsa-mir-375	34810	10788.680099	N	TCGA-CM-5864-01A
hsa-mir-484	86	26.654022	N	TCGA-CM-5864-01A
hsa-mir-760	7	2.169513	N	TCGA-CM-5864-01A
hsa-mir-1249	1	0.431911	N	TCGA-A6-2681-01A
hsa-mir-1538	0	0.0	N	TCGA-A6-2681-01A
hsa-mir-1976	6	2.591464	N	TCGA-A6-2681-01A
hsa-mir-2110	1	0.431911	N	TCGA-A6-2681-01A
hsa-mir-326	3	1.295732	N	TCGA-A6-2681-01A
hsa-mir-346	0	0.0	N	TCGA-A6-2681-01A
hsa-mir-3653	8	3.455285	N	TCGA-A6-2681-01A
hsa-mir-375	17796	7686.280878	N	TCGA-A6-2681-01A
hsa-mir-484	71	30.665652	N	TCGA-A6-2681-01A
hsa-mir-760	1	0.431911	N	TCGA-A6-2681-01A
hsa-mir-1249	0	0.0	N	TCGA-A6-5666-01A
hsa-mir-1538	0	0.0	N	TCGA-A6-5666-01A
hsa-mir-1976	26	7.178111	N	TCGA-A6-5666-01A
hsa-mir-2110	5	1.380406	N	TCGA-A6-5666-01A
hsa-mir-326	2	0.552162	N	TCGA-A6-5666-01A
hsa-mir-346	0	0.0	N	TCGA-A6-5666-01A
hsa-mir-3653	8	2.208649	N	TCGA-A6-5666-01A
hsa-mir-375	97874	27021.169629	N	TCGA-A6-5666-01A
hsa-mir-484	99	27.332037	N	TCGA-A6-5666-01A
hsa-mir-760	5	1.380406	N	TCGA-A6-5666-01A
hsa-mir-1249	4	2.580955	N	TCGA-AA-3542-01A
hsa-mir-1538	0	0.0	N	TCGA-AA-3542-01A
hsa-mir-1976	11	7.097626	N	TCGA-AA-3542-01A
hsa-mir-2110	1	0.645239	N	TCGA-AA-3542-01A
hsa-mir-326	4	2.580955	N	TCGA-AA-3542-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3542-01A
hsa-mir-3653	7	4.516671	N	TCGA-AA-3542-01A
hsa-mir-375	50285	32445.828983	N	TCGA-AA-3542-01A
hsa-mir-484	80	51.619098	N	TCGA-AA-3542-01A
hsa-mir-760	5	3.226194	N	TCGA-AA-3542-01A
