miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	Sample ID
hsa-mir-592	7	2.136131	N	TCGA-A7-A6VY-01A
hsa-mir-190b	350	28.482072	N	TCGA-AC-A3TM-01A
hsa-mir-301b	3	0.244132	N	TCGA-AC-A3TM-01A
hsa-mir-375	40095	3262.824744	N	TCGA-AC-A3TM-01A
hsa-mir-429	1476	120.112965	N	TCGA-AC-A3TM-01A
hsa-mir-592	13	1.057906	N	TCGA-AC-A3TM-01A
hsa-mir-190b	2	1.8395	N	TCGA-AN-A0G0-01A
hsa-mir-301b	15	13.79625	N	TCGA-AN-A0G0-01A
hsa-mir-375	1844	1696.018954	N	TCGA-AN-A0G0-01A
hsa-mir-429	359	330.190241	N	TCGA-AN-A0G0-01A
hsa-mir-592	1	0.91975	N	TCGA-AN-A0G0-01A
hsa-mir-190b	1	1.207816	N	TCGA-AN-A0AL-01A
hsa-mir-301b	4	4.831262	N	TCGA-AN-A0AL-01A
hsa-mir-375	10679	12898.262074	N	TCGA-AN-A0AL-01A
hsa-mir-429	559	675.168883	N	TCGA-AN-A0AL-01A
hsa-mir-592	5	6.039078	N	TCGA-AN-A0AL-01A
hsa-mir-190b	119	31.048365	N	TCGA-A2-A4S0-01A
hsa-mir-301b	0	0.0	N	TCGA-A2-A4S0-01A
hsa-mir-375	740729	193264.070258	N	TCGA-A2-A4S0-01A
hsa-mir-429	541	141.152651	N	TCGA-A2-A4S0-01A
hsa-mir-592	31	8.08823	N	TCGA-A2-A4S0-01A
hsa-mir-190b	187	47.728628	N	TCGA-A7-A4SF-01A
hsa-mir-301b	4	1.020933	N	TCGA-A7-A4SF-01A
hsa-mir-375	29056	7416.058871	N	TCGA-A7-A4SF-01A
hsa-mir-429	577	147.269616	N	TCGA-A7-A4SF-01A
hsa-mir-592	11	2.807566	N	TCGA-A7-A4SF-01A
hsa-mir-190b	5	3.689492	N	TCGA-C8-A12P-01A
hsa-mir-301b	2	1.475797	N	TCGA-C8-A12P-01A
hsa-mir-375	2405	1774.645809	N	TCGA-C8-A12P-01A
hsa-mir-429	34	25.088548	N	TCGA-C8-A12P-01A
hsa-mir-592	3	2.213695	N	TCGA-C8-A12P-01A
hsa-mir-190b	9	15.850512	N	TCGA-A8-A090-01A
hsa-mir-301b	1	1.761168	N	TCGA-A8-A090-01A
hsa-mir-375	28859	50825.547503	N	TCGA-A8-A090-01A
hsa-mir-429	29	51.073872	N	TCGA-A8-A090-01A
hsa-mir-592	1	1.761168	N	TCGA-A8-A090-01A
hsa-mir-190b	124	70.73459	N	TCGA-BH-A0HU-01A
hsa-mir-301b	8	4.563522	N	TCGA-BH-A0HU-01A
hsa-mir-375	10546	6015.862802	N	TCGA-BH-A0HU-01A
hsa-mir-429	370	211.06289	N	TCGA-BH-A0HU-01A
hsa-mir-592	17	9.697484	N	TCGA-BH-A0HU-01A
hsa-mir-190b	183	40.422622	N	TCGA-PE-A5DE-01A
hsa-mir-301b	3	0.662666	N	TCGA-PE-A5DE-01A
hsa-mir-375	179230	39589.871637	N	TCGA-PE-A5DE-01A
hsa-mir-429	639	141.147843	N	TCGA-PE-A5DE-01A
hsa-mir-592	15	3.31333	N	TCGA-PE-A5DE-01A
hsa-mir-190b	9	7.09183	N	TCGA-BH-A0BF-01A
hsa-mir-301b	0	0.0	N	TCGA-BH-A0BF-01A
hsa-mir-375	949	747.794047	N	TCGA-BH-A0BF-01A
hsa-mir-429	52	40.975016	N	TCGA-BH-A0BF-01A
hsa-mir-592	1	0.787981	N	TCGA-BH-A0BF-01A
hsa-mir-190b	110	83.344762	N	TCGA-A8-A0A9-01A
